"origin","year","month","day","hour","temp","dewp","humid","wind_dir","wind_speed","wind_gust","precip","pressure","visib","time_hour"
"JFK",2023,1,1,0,48,48,100,0,0,0,0.01,1010.2,0.25,2023-01-01
"JFK",2023,1,1,1,48.2,48.2,100,190,4.60312,5.2971784336,0.01,1009.2,2.5,2023-01-01 01:00:00
"JFK",2023,1,1,2,49,49,100,190,5.7539,6.621473042,1e-04,1009,0.25,2023-01-01 02:00:00
"JFK",2023,1,1,3,49,49,100,250,5.7539,6.621473042,0.02,1008,4,2023-01-01 03:00:00
"JFK",2023,1,1,4,49,49,100,170,8.05546,9.2700622588,1e-04,1007.8,0.75,2023-01-01 04:00:00
"JFK",2023,1,1,5,48,48,100,0,0,0,1e-04,1007.6,0.75,2023-01-01 05:00:00
"JFK",2023,1,1,6,46.4,46.4,100,250,9.20624,10.5943568672,0,1007.3,0.24,2023-01-01 06:00:00
"JFK",2023,1,1,7,46,46,100,230,9.20624,10.5943568672,0,1008.3,0.5,2023-01-01 07:00:00
"JFK",2023,1,1,8,48,48,100,260,11.5078,13.242946084,0,1008.6,8,2023-01-01 08:00:00
"JFK",2023,1,1,9,47,47,100,250,12.65858,14.5672406924,0,1009,5,2023-01-01 09:00:00
"JFK",2023,1,1,10,45,45,100,240,9.20624,10.5943568672,0,1009.9,4,2023-01-01 10:00:00
"JFK",2023,1,1,11,44,44,100,260,11.5078,13.242946084,0,1010.5,6,2023-01-01 11:00:00
"JFK",2023,1,1,12,45,45,100,260,9.20624,10.5943568672,0,1011.4,8,2023-01-01 12:00:00
"JFK",2023,1,1,13,50,47,89.04,240,12.65858,14.5672406924,0,1012.3,10,2023-01-01 13:00:00
"JFK",2023,1,1,14,50,46,86.06,230,8.05546,9.2700622588,0,1013.3,10,2023-01-01 14:00:00
"JFK",2023,1,1,15,54,41,61.32,280,12.65858,14.5672406924,0,1013.9,10,2023-01-01 15:00:00
"JFK",2023,1,1,16,55,39,54.7,280,14.96014,17.2158299092,0,1013.3,10,2023-01-01 16:00:00
"JFK",2023,1,1,17,55,39,54.7,300,10.35702,11.9186514756,0,1013.7,10,2023-01-01 17:00:00
"JFK",2023,1,1,18,55,36,48.62,280,14.96014,17.2158299092,0,1013.3,10,2023-01-01 18:00:00
"JFK",2023,1,1,19,55,34,44.9,290,10.35702,11.9186514756,0,1013.6,10,2023-01-01 19:00:00
"JFK",2023,1,1,20,54,33,44.92,280,12.65858,14.5672406924,0,1014.2,10,2023-01-01 20:00:00
"JFK",2023,1,1,21,52,33,48.34,270,8.05546,9.2700622588,0,1014.8,10,2023-01-01 21:00:00
"JFK",2023,1,1,22,47,33,58.47,310,5.7539,6.621473042,0,1015.2,10,2023-01-01 22:00:00
"JFK",2023,1,1,23,47,38,70.73,0,0,0,0,1016.2,10,2023-01-01 23:00:00
"JFK",2023,1,2,0,43,37,79.19,240,9.20624,10.5943568672,0,1016.8,10,2023-01-02
"JFK",2023,1,2,1,44,38,78.66,230,9.20624,10.5943568672,0,1017.1,10,2023-01-02 01:00:00
