film_id,category_id,last_update
1,6,15-02-06 5:07
2,11,15-02-06 5:07
3,6,15-02-06 5:07
4,11,15-02-06 5:07
5,8,15-02-06 5:07
6,9,15-02-06 5:07
7,5,15-02-06 5:07
8,11,15-02-06 5:07
9,11,15-02-06 5:07
10,15,15-02-06 5:07
11,9,15-02-06 5:07
12,12,15-02-06 5:07
13,11,15-02-06 5:07
14,4,15-02-06 5:07
15,9,15-02-06 5:07
16,9,15-02-06 5:07
17,12,15-02-06 5:07
18,2,15-02-06 5:07
19,1,15-02-06 5:07
20,12,15-02-06 5:07
21,1,15-02-06 5:07
22,13,15-02-06 5:07
23,2,15-02-06 5:07
24,11,15-02-06 5:07
25,13,15-02-06 5:07
26,14,15-02-06 5:07
27,15,15-02-06 5:07
28,5,15-02-06 5:07
29,1,15-02-06 5:07
30,11,15-02-06 5:07
31,8,15-02-06 5:07
32,13,15-02-06 5:07
33,7,15-02-06 5:07
34,11,15-02-06 5:07
35,11,15-02-06 5:07
36,2,15-02-06 5:07
37,4,15-02-06 5:07
38,1,15-02-06 5:07
39,14,15-02-06 5:07
40,6,15-02-06 5:07
41,16,15-02-06 5:07
42,15,15-02-06 5:07
43,8,15-02-06 5:07
44,14,15-02-06 5:07
45,13,15-02-06 5:07
46,10,15-02-06 5:07
47,9,15-02-06 5:07
48,3,15-02-06 5:07
49,14,15-02-06 5:07
50,8,15-02-06 5:07
51,12,15-02-06 5:07
52,9,15-02-06 5:07
53,8,15-02-06 5:07
54,12,15-02-06 5:07
55,14,15-02-06 5:07
56,1,15-02-06 5:07
57,16,15-02-06 5:07
58,6,15-02-06 5:07
59,3,15-02-06 5:07
60,4,15-02-06 5:07
61,7,15-02-06 5:07
62,6,15-02-06 5:07
63,8,15-02-06 5:07
64,7,15-02-06 5:07
65,11,15-02-06 5:07
66,3,15-02-06 5:07
67,1,15-02-06 5:07
68,3,15-02-06 5:07
69,14,15-02-06 5:07
70,2,15-02-06 5:07
71,8,15-02-06 5:07
72,6,15-02-06 5:07
73,14,15-02-06 5:07
74,12,15-02-06 5:07
75,16,15-02-06 5:07
76,12,15-02-06 5:07
77,13,15-02-06 5:07
78,2,15-02-06 5:07
79,7,15-02-06 5:07
80,8,15-02-06 5:07
81,14,15-02-06 5:07
82,8,15-02-06 5:07
83,8,15-02-06 5:07
84,16,15-02-06 5:07
85,6,15-02-06 5:07
86,12,15-02-06 5:07
87,16,15-02-06 5:07
88,16,15-02-06 5:07
89,2,15-02-06 5:07
90,13,15-02-06 5:07
91,4,15-02-06 5:07
92,11,15-02-06 5:07
93,13,15-02-06 5:07
94,8,15-02-06 5:07
95,13,15-02-06 5:07
96,13,15-02-06 5:07
97,1,15-02-06 5:07
98,7,15-02-06 5:07
99,5,15-02-06 5:07
100,9,15-02-06 5:07
101,6,15-02-06 5:07
102,15,15-02-06 5:07
103,16,15-02-06 5:07
104,9,15-02-06 5:07
105,1,15-02-06 5:07
106,10,15-02-06 5:07
107,7,15-02-06 5:07
108,13,15-02-06 5:07
109,13,15-02-06 5:07
110,3,15-02-06 5:07
111,1,15-02-06 5:07
112,9,15-02-06 5:07
113,15,15-02-06 5:07
114,14,15-02-06 5:07
115,1,15-02-06 5:07
116,4,15-02-06 5:07
117,10,15-02-06 5:07
118,2,15-02-06 5:07
119,5,15-02-06 5:07
120,15,15-02-06 5:07
121,2,15-02-06 5:07
122,11,15-02-06 5:07
123,16,15-02-06 5:07
124,3,15-02-06 5:07
125,16,15-02-06 5:07
126,1,15-02-06 5:07
127,5,15-02-06 5:07
128,9,15-02-06 5:07
129,6,15-02-06 5:07
130,1,15-02-06 5:07
131,4,15-02-06 5:07
132,14,15-02-06 5:07
133,12,15-02-06 5:07
134,2,15-02-06 5:07
135,15,15-02-06 5:07
136,13,15-02-06 5:07
137,14,15-02-06 5:07
138,14,15-02-06 5:07
139,8,15-02-06 5:07
140,14,15-02-06 5:07
141,10,15-02-06 5:07
142,6,15-02-06 5:07
143,7,15-02-06 5:07
144,13,15-02-06 5:07
145,8,15-02-06 5:07
146,7,15-02-06 5:07
147,8,15-02-06 5:07
148,9,15-02-06 5:07
149,3,15-02-06 5:07
150,6,15-02-06 5:07
151,14,15-02-06 5:07
152,3,15-02-06 5:07
153,14,15-02-06 5:07
154,2,15-02-06 5:07
155,13,15-02-06 5:07
156,6,15-02-06 5:07
157,3,15-02-06 5:07
158,12,15-02-06 5:07
159,5,15-02-06 5:07
160,2,15-02-06 5:07
161,12,15-02-06 5:07
162,1,15-02-06 5:07
163,13,15-02-06 5:07
164,6,15-02-06 5:07
165,14,15-02-06 5:07
166,4,15-02-06 5:07
167,16,15-02-06 5:07
168,3,15-02-06 5:07
169,16,15-02-06 5:07
170,9,15-02-06 5:07
171,11,15-02-06 5:07
172,7,15-02-06 5:07
173,7,15-02-06 5:07
174,12,15-02-06 5:07
175,8,15-02-06 5:07
176,15,15-02-06 5:07
177,14,15-02-06 5:07
178,5,15-02-06 5:07
179,7,15-02-06 5:07
180,4,15-02-06 5:07
181,16,15-02-06 5:07
182,5,15-02-06 5:07
183,8,15-02-06 5:07
184,4,15-02-06 5:07
185,9,15-02-06 5:07
186,7,15-02-06 5:07
187,15,15-02-06 5:07
188,5,15-02-06 5:07
189,10,15-02-06 5:07
190,4,15-02-06 5:07
191,3,15-02-06 5:07
192,9,15-02-06 5:07
193,2,15-02-06 5:07
194,1,15-02-06 5:07
195,14,15-02-06 5:07
196,4,15-02-06 5:07
197,15,15-02-06 5:07
198,9,15-02-06 5:07
199,6,15-02-06 5:07
200,10,15-02-06 5:07
201,9,15-02-06 5:07
202,5,15-02-06 5:07
203,14,15-02-06 5:07
204,7,15-02-06 5:07
205,1,15-02-06 5:07
206,6,15-02-06 5:07
207,9,15-02-06 5:07
208,2,15-02-06 5:07
209,7,15-02-06 5:07
210,1,15-02-06 5:07
211,10,15-02-06 5:07
212,1,15-02-06 5:07
213,8,15-02-06 5:07
214,3,15-02-06 5:07
215,10,15-02-06 5:07
216,13,15-02-06 5:07
217,10,15-02-06 5:07
218,7,15-02-06 5:07
219,6,15-02-06 5:07
220,12,15-02-06 5:07
221,6,15-02-06 5:07
222,11,15-02-06 5:07
223,2,15-02-06 5:07
224,16,15-02-06 5:07
225,7,15-02-06 5:07
226,13,15-02-06 5:07
227,10,15-02-06 5:07
228,4,15-02-06 5:07
229,1,15-02-06 5:07
230,7,15-02-06 5:07
231,8,15-02-06 5:07
232,10,15-02-06 5:07
233,16,15-02-06 5:07
234,14,15-02-06 5:07
235,14,15-02-06 5:07
236,10,15-02-06 5:07
237,15,15-02-06 5:07
238,3,15-02-06 5:07
239,2,15-02-06 5:07
240,14,15-02-06 5:07
241,2,15-02-06 5:07
242,5,15-02-06 5:07
243,2,15-02-06 5:07
244,12,15-02-06 5:07
245,2,15-02-06 5:07
246,9,15-02-06 5:07
247,5,15-02-06 5:07
248,6,15-02-06 5:07
249,4,15-02-06 5:07
250,1,15-02-06 5:07
251,13,15-02-06 5:07
252,1,15-02-06 5:07
253,1,15-02-06 5:07
254,15,15-02-06 5:07
255,12,15-02-06 5:07
256,15,15-02-06 5:07
257,16,15-02-06 5:07
258,11,15-02-06 5:07
259,2,15-02-06 5:07
260,15,15-02-06 5:07
261,6,15-02-06 5:07
262,8,15-02-06 5:07
263,15,15-02-06 5:07
264,10,15-02-06 5:07
265,5,15-02-06 5:07
266,4,15-02-06 5:07
267,13,15-02-06 5:07
268,2,15-02-06 5:07
269,8,15-02-06 5:07
270,13,15-02-06 5:07
271,1,15-02-06 5:07
272,7,15-02-06 5:07
273,8,15-02-06 5:07
274,6,15-02-06 5:07
275,11,15-02-06 5:07
276,5,15-02-06 5:07
277,11,15-02-06 5:07
278,12,15-02-06 5:07
279,15,15-02-06 5:07
280,3,15-02-06 5:07
281,10,15-02-06 5:07
282,7,15-02-06 5:07
283,13,15-02-06 5:07
284,12,15-02-06 5:07
285,14,15-02-06 5:07
286,16,15-02-06 5:07
287,1,15-02-06 5:07
288,16,15-02-06 5:07
289,13,15-02-06 5:07
290,9,15-02-06 5:07
291,15,15-02-06 5:07
292,1,15-02-06 5:07
293,15,15-02-06 5:07
294,16,15-02-06 5:07
295,6,15-02-06 5:07
296,14,15-02-06 5:07
297,4,15-02-06 5:07
298,14,15-02-06 5:07
299,16,15-02-06 5:07
300,2,15-02-06 5:07
301,11,15-02-06 5:07
302,10,15-02-06 5:07
303,1,15-02-06 5:07
304,3,15-02-06 5:07
305,13,15-02-06 5:07
306,10,15-02-06 5:07
307,16,15-02-06 5:07
308,5,15-02-06 5:07
309,8,15-02-06 5:07
310,10,15-02-06 5:07
